customer_id,delivery_delay_days,segmentation1
ca994abc57b0bd7981d91d0061b3d8d6,41.0,TBC
a176838867d89ed62981cdf02b7ca3e1,34.0,TBC
ec7f1811826ab04a27a92197bc40c888,27.0,TBC
9abba9caa203cd4344b8c918d6ade26e,24.0,TBC
47c1a3033b8b77b3ab6e109eb4d5fdf3,15.0,TBC
e3301490c373db9263c15a73172d0c6f,12.0,TBC
7e1681f9bb31800364869a2cdbe289db,11.0,TBC
ce8b665ad7a00dfee2a4fbd19dedb82a,66.0,BC
2e366b0c6451864364bab2e7917ca1bb,65.0,BC
c32c120fa230c291ecc017406aa2f39d,47.0,BC
09ab36a420b5c87c5c9772bdb494f2e3,45.0,BC
2947c03745112e23dced5a2ab3f8c568,37.0,BC
e9dd12dca17352644a959d9dea133935,37.0,BC
367f4686d7112d69feed92b02a1775ed,35.0,BC
827b19392982299876c0aca1f92208c2,35.0,BC
d26c616e241736e0c1c1ab14150239e7,34.0,BC
71048f40f553973d48d6fe35d01a3afb,32.0,BC
1b270bd97f6e1d9af2d5d06f0d4a80e8,32.0,BC
f7d7fc0a59ef4363fdce6e3aa069d498,31.0,BC
45df9d71b80f651fcfd26763eebd027a,31.0,BC
c92f31f36283b5e3c4b4657734ea8c16,31.0,BC
b17ed96ffdf66518b4cf65e328298e7b,31.0,BC
99bf2e03eb1ef8f29fd57ad10fd75e48,31.0,BC
8b648bdd88380c34e18d3ca8ba9055a2,29.0,BC
b8c5ccc844de0242c85efacf5b6a51da,29.0,BC
3fdc39171d444e1a1cd4da98ac2e4adb,28.0,BC
6a2c39f27e5c40a4d2a0cd94aeb8c925,28.0,BC
6bd33258105ef24dbf6d82bb7e3a06b2,25.0,BC
ff8892f7c26aa0446da53d01b18df463,25.0,BC
388661387449408a9ab88ea55c9f1a0f,25.0,BC
73daba56d88fe2ed55fd098a179646d0,24.0,BC
da5bbfd583efb762f6fda762f1aaf4a9,24.0,BC
bf482716881b0c14af9efda1fc58a649,24.0,BC
e8bab621313ad2a3c0ce8e3a023ff9bb,23.0,BC
e4f218d824a59b96c4399ad182327138,23.0,BC
67806996190d3af60247f64e1d03877f,23.0,BC
5616f75d22507069b5383854a1d8c414,22.0,BC
cb06773dbb3415543b78720a3986344e,22.0,BC
b824f6981f2ee1c30533c4138572428c,22.0,BC
3d50a44231c2a153219cef76ee3e445d,22.0,BC
fb490a070c5dbc385afadcf0e56270bd,21.0,BC
b52b8debdefe66d4c0d7f44d9b4ff088,21.0,BC
2708339a3f5355f56983737d54fbce59,21.0,BC
7d904a4755e206a3e308a1f03d4a3a7c,20.0,BC
19cb65cc7310ae4eef4f15bb70539d01,20.0,BC
80282a1a77281692a0339c2a08d0e6af,20.0,BC
e58e049eea2419a34274619f798d0cd4,20.0,BC
a9e070f61d35aa13e420c8597b5ccb3d,20.0,BC
e1cf735f320c9870c2046dbbc634fcec,20.0,BC
07b1b60bca2b6326fa2adb259ea4a55f,19.0,BC
7b05e0471103ce0ef346e87c357273fe,19.0,BC
79f227df52caf2b68d36e990ff3fc652,19.0,BC
eed4189bfc1ea0c708e927cf93d63bdf,19.0,BC
e11a1b428e150830944b665cb6b2d5da,19.0,BC
e5b6fb6c5e7e4adc25a5e400c0104508,19.0,BC
cc025521d96a3005316b61cde71907db,18.0,BC
10a4b9f45f67e6bc9ca4032b9203272c,18.0,BC
c1133ec81daffffd4871e9353a3c8fb3,17.0,BC
bce006e903be688f122a39f45b210090,17.0,BC
9689908caf4de73724feed92175d867a,16.0,BC
7d23ca9b9d5f41298ec3ccbb2ff637d8,16.0,BC
6f1b9f60ea8ee748140353648c2d8d8f,16.0,BC
c9ec7638cb8f2dd8e4439fa8374d89e4,16.0,BC
3f1ae9854823f7c0a8027bd994b2ce64,15.0,BC
0e730550dfc5d7f1cea73484bb2e0249,15.0,BC
b08b68bac767c3269e827f822d308182,15.0,BC
2dacd79aa5d1a86240b37b6c588de551,15.0,BC
a48616b0798c3f1d5cae097c18180be8,15.0,BC
8d95960cba7da36b31a2253c6445dc17,15.0,BC
0be7af6c16fbca7eff244788f89146a3,14.0,BC
c0ab0c71f36879a7e904700157a6d88c,14.0,BC
43f9d5ace80c6d3c5c09544bc2fa8484,14.0,BC
8149101234b839e311a6f8c525206632,14.0,BC
151e9edb34867eaece4d6e7ae188f261,14.0,BC
d3738b2218832d0397dbbceffa3f3514,13.0,BC
3aa71d539bb760f054b280604391602a,13.0,BC
2fc5e667ccf2a1c87a798be23f1c920a,13.0,BC
425634deb94b1080fc7d283f3a644941,13.0,BC
5568fb2b583235812ed08eb9587d0465,13.0,BC
e3a07a2fce775f67bcf06e6278807608,13.0,BC
9f5e91d56f3c3c192a0ee7fa88de7113,13.0,BC
973f2fba63a7eb540f8860b0c75b63cb,13.0,BC
805e5a317f4b3e1afccb9dfd71287a36,13.0,BC
aa3bf249b773d47a88cd191c16152086,13.0,BC
055ec572ac7f3c7bdd04a183830ebe59,12.0,BC
5ff735d120cf4ec4adefd9766f703bf5,12.0,BC
10867a902e32dd54061b2cda9c55b0b6,12.0,BC
413c048b3543f926f2e486c53de5123f,11.0,BC
71bd6ff3f70090f785e26643f22c6484,11.0,BC
7314e2017ab1883d59ccbc7318c4b3fc,11.0,BC
247e0dcd20596bee51bd2b07f633fa04,11.0,BC
6204c4e582a95b6a350adf6988623bfb,11.0,BC
c143eafe10719dcc7dc0a855b2e3554d,11.0,BC
54c7b4f48fb9e911bf328bf9884ca61d,11.0,BC
